Id	SRR12237911	SRR12237910	SRR12237909	SRR12237908	SRR12237915	SRR12237914	SRR12237913	SRR12237912
ENSG00000005075.14	2859.63	2542.92	4593.55	4429.38	4497.72	4232.74	3619.27	3685.05
ENSG00000005100.11	6004.37	5320.74	5432.6	5198.31	3524.34	3278.19	3553.73	3771.76
ENSG00000005102.11	0	0	0	0	0	0	1	2
ENSG00000005108.14	13.0007	25	18	18	2468.83	2696.91	174.845	146
ENSG00000005156.10	5755.06	5003.43	6222.28	6452.82	4374.89	4127.76	4263.24	3854.55
ENSG00000005175.8	4058	3558	5024	4521	3334	3240	2288	2437
ENSG00000005187.10	20.0228	13.1767	2.09718	10.0021	6.07757	3.0637	10.022	7.01386
ENSG00000005189.18	1138	1119	3698	3300	2015	2020	2849	2549
ENSG00000005194.13	4334	4115	5066.85	4926.93	1476.83	1516	2827	3066.78
ENSG00000005206.15	1060.65	1076.88	1587.4	1436.69	1672.88	1520.16	6663.09	6167.8
ENSG00000005238.18	961	824	342	342	251	283	175	138
ENSG00000005243.8	4	9	206	147	35	48	1	4
ENSG00000005249.11	1651	1328	1971	2154	250	279	1031	1127
ENSG00000005302.16	1562.1	1508.75	2157.18	2164.59	1409.93	1390.44	1579.33	1513.44
ENSG00000005339.11	3637	3439	4557	4767	4631	4101	7093	7714
ENSG00000005379.14	0	0	2109	2205	1829	1750.28	903.105	1228.23
ENSG00000005381.7	0	0	1	2	0	1	0	0
ENSG00000005421.7	1.00197	4.006	3190	3855.27	1.00295	1.00245	3.00894	1.00154
ENSG00000005436.12	2127.59	1901.38	2456.4	2521.83	2545.09	2429.92	1938.97	2141.05
ENSG00000005448.15	1274.64	1398.27	1093.3	1261.92	2032.94	1989.99	2509.86	2505.86
ENSG00000005469.10	1945	1601	2927	2438	920	886	204	201
ENSG00000005471.14	7	14	34.1736	55	127	111	6	6.88037
ENSG00000005483.18	6476.67	6201.24	6268.27	6312.28	10267.7	9694.61	5518.69	5662.93
ENSG00000005486.15	2764	2515	4671	5093	4445	4291	7443	7418
ENSG00000005513.9	417	436	1	4	39	52	7	16
ENSG00000005700.13	6366	5684	6206	5939	2649	2662	6457	6808
ENSG00000005801.15	2708.34	2484.97	1983.51	2257.4	2113.78	2200.54	3235.11	2976.97
ENSG00000005810.16	5610.81	6005.69	4306.58	4281.63	19133.3	17914.5	3435.77	3929.75
ENSG00000005812.9	2018	1781	1898	1908	2939	2853	2023	2446
ENSG00000005844.16	17.5035	8.25313	65.6835	67.3457	13.6486	21.4771	14.8485	20.8654
ENSG00000005882.10	267.777	269.718	1423.69	1442.12	1312.49	1241.27	859.089	755.463
ENSG00000005884.16	1115	1027	728	756	1495	1445	2757	2656
ENSG00000005889.14	3875.61	3581.02	2248.2	2185.47	3193.09	3119.85	2763.55	3001.24
ENSG00000005893.14	11486.3	9896.86	4747.19	4378.57	7878.45	7565.12	13370.6	12820.5
ENSG00000005961.16	245	217	41	30	147	153	401	360
ENSG00000005981.11	13.3225	13.2493	37.3892	34.3546	730.827	583.67	26.2024	23.8676
ENSG00000006007.10	9049.64	8501.48	6136.82	5974.36	2690.14	2657.77	3900.97	4173.62
ENSG00000006015.16	427.879	484.045	902.223	998.062	375.463	349.56	982.361	1021.77
ENSG00000006016.9	30	19	288	271	117	82	6395	6195
ENSG00000006025.10	136	130	7	5	2482	2528	646	544
ENSG00000006042.10	5461.54	5244.77	3012.2	3085.33	12.3612	17.894	142.599	107.383
ENSG00000006047.11	138	136	2520.98	2398.98	13	13	190	193
ENSG00000006059.3	0	0	0	0	223.519	267.654	0	0
ENSG00000006062.12	1322.4	1238.03	1056.22	1082.24	1432.78	1327.06	2819.63	3114.66
ENSG00000006071.10	1009	916	4	4	976	947	1307	1202
ENSG00000006116.3	1	1	1	1	3.00382	2.00257	2.0096	1.00477
ENSG00000006118.13	3253.09	3222.48	2731.34	2914.62	1967.64	1812.56	6605.53	6310.42
ENSG00000006125.15	49910	45968.9	18291	17118	19826	19714	21753	20578
ENSG00000006128.10	0	0	0	0	6	6	0	0
ENSG00000006194.9	2739	2524	2055	2106	1679	1716	2758	3109
ENSG00000006210.6	25.1088	25.2806	1998.67	2325.53	25.0941	31.566	373.143	450.604
ENSG00000006282.18	7396.94	6766.21	10011.7	10376.2	1823	1736	4700.69	4228.84
ENSG00000006283.16	105	87	53	57	648	692	667.409	543
ENSG00000006327.12	793	932	392	369	646	596	143	206
ENSG00000006377.10	100.195	82.1149	1.00047	4.00533	480.696	438.23	874.571	950.14
ENSG00000006432.14	2930.87	2871.19	1980.2	1973.7	4508.51	4503.58	6336.19	6737.82
ENSG00000006451.6	4276.77	3945	3930	4029.94	5183.78	5689	6885.97	6935.96
ENSG00000006453.12	7385.34	6519.72	4816.77	4586.47	818.191	879.96	2727.36	2437.65
ENSG00000006459.9	1048	896	1003	1517	472	497	1162	1300
ENSG00000006468.12	27410	22994	2135	1973	2021	1788	1073	859
ENSG00000006530.14	4125.45	3986.8	3875.46	3809	2959.1	2994.5	1760	1677.96
ENSG00000006534.14	395.933	383.126	196.211	231.932	1654.75	1580.81	195.448	190.718
ENSG00000006555.9	17.1745	24.4624	21.2213	25.4041	37.302	30.3373	12.8998	11.7235
ENSG00000006576.15	5089	4364	7703	7572	11520	11002	3865	4715
ENSG00000006606.7	2	2	0	0	24	19	2	0
ENSG00000006607.12	3484.96	3072.22	2260	2166	2494.34	2472.34	2214.35	2261.59
ENSG00000006611.14	4	5	10	19	167	177	267	273
ENSG00000006625.16	9855.08	9611.85	11935.1	11032.3	4472.27	4670.68	9292.47	9655.26
ENSG00000006634.6	3948.75	3540.39	4449.32	3831.2	4300.65	4275.02	4355.24	4360.82
ENSG00000006638.10	20.5657	25.7918	94.8178	132.729	13.1302	16.7044	64.2505	66.0423
ENSG00000006652.12	6360.08	5774.16	4449.41	4278.3	5640.99	5715.31	3619.85	4008.24
ENSG00000006659.11	0	0	0	0	0	0	0	0
ENSG00000006695.9	2387.07	2027.04	1037.79	1095.83	829.783	892.714	589.351	674.282
ENSG00000006704.9	3687.67	3611.43	1726.02	1631.4	2245.74	2180.15	3749.61	3563.2
ENSG00000006712.13	5248	4768	5124	4754	3926	3757	3447	3877
ENSG00000006715.14	3092.8	2868.91	5128.47	5013.62	3108.9	3257.5	4604.35	4498.78
ENSG00000006740.15	662.486	582.082	76.3386	84.7888	301.627	247.33	36.2789	48.5218
ENSG00000006744.17	9422	8850	6190	6110	5128	4961	2777	2949
ENSG00000006747.13	102.104	78.3321	926.438	905.316	140.161	125.546	11833.3	11866
ENSG00000006756.14	1678.64	1598.24	2330	2545.76	1937.76	2079.42	873.711	808.553
ENSG00000006757.10	2175.1	2018.71	1181.89	1184.49	542.549	496.307	109.607	110.535
ENSG00000006788.11	0	2	0	0	0	0	0	0
ENSG00000006831.9	9937	9170	7499	7536	5533	5675	5777	6732
ENSG00000006837.10	85.6461	106.518	82.4162	81.3239	158.259	149.312	89.4149	58.2061
ENSG00000007001.11	0	3.17421	0	0	0	1	2	0
ENSG00000007038.9	0	0	840	855	0	0	0	0
ENSG00000007047.13	987	900	1005	1000	1171	1208	663	593
ENSG00000007062.10	3.00177	3.00215	5.003	3.00044	36.0316	31.0031	112	110.02
ENSG00000007080.9	2622.83	2680.14	4059.5	3892.78	2182.88	1958.44	3985.32	3630.06
ENSG00000007129.16	0	0	0	2	0	0	0	0
ENSG00000007168.11	13364	11987	8566	8714	17234	16802.8	13778	15690
ENSG00000007171.15	0	4	4	2	244.353	302.605	220	454
ENSG00000007174.16	43	32	0	0	339	328	0	0
ENSG00000007202.13	26432.7	24496.2	18400.2	17725.8	12045.8	11684.4	18048.7	20039.1
ENSG00000007216.13	0	0	0	0	0	2	22	11
ENSG00000007237.17	98.5539	77.9823	8.21357	18.104	16.4986	13.0676	10.4374	4.3049
ENSG00000007255.9	329	281	1403	1533	665	639	498	470
ENSG00000007264.12	0	0	1934	1940	2	1	13	10
ENSG00000007306.13	0	0	0	0	0	0	97	122
ENSG00000007312.11	0	0	0	0	238	300	0	0
ENSG00000007314.10	0	0	7	5	9	2	3	1
ENSG00000007341.17	1595.19	1644.93	1036.83	1004.23	1183.27	1175.81	920.424	1006.44
ENSG00000007350.15	22	10	94	102	1	6	2	1
ENSG00000007372.19	16	25	552	588	833.082	757.307	132	171
ENSG00000007376.6	2013	1973	1677	1616	964	852	1364	1528
ENSG00000007384.14	1471.99	1424.99	978	1004	53	37	3477	3638
ENSG00000007392.15	2243	2086	2482	2635	2101	2219	3271	3398
ENSG00000007402.10	446.365	381.136	657.92	625.943	6621.72	6454.27	4252.23	4683.13
ENSG00000007516.12	593.774	494.725	503.641	490.084	65.6149	52.486	2590.39	2105.46
ENSG00000007520.3	1741.23	1613.28	1744.36	1722.92	1030.39	967.514	1548.61	1476.54
ENSG00000007541.13	1275	1148	1917	1705	922	817	2511	2357
ENSG00000007545.14	1975.97	1843.08	2775.24	2845.21	1059.95	940.746	2110.09	2674.95
ENSG00000007866.17	1225.25	1151	599	693	474	468	1482	1380
ENSG00000007908.14	0	0	0	0	0	2	0	0
ENSG00000007923.14	10032.5	9293.24	5929.62	5500.78	4086.47	3966.37	5983.26	6116.02
ENSG00000007933.11	1	1	0	1	1	1	2	4
ENSG00000007944.13	871	821	405	418	743	746	1661	1977
ENSG00000007952.16	41	40	29	33	67	84	22	36
ENSG00000007968.6	1872.64	1737.67	5075.68	4975.18	4304.49	4354.62	2364.88	2310.88
