id	SRR925687	SRR925688	SRR925697	SRR925703	SRR925714	SRR925716	SRR925720	SRR925721	SRR925726	SRR934634	SRR934636
ENSG00000066629.15	9.57	1.54	8.25	20.47	32.01	35.49	9.59	8.31	3	8.3	61.46
ENSG00000066651.16	8.19	4.56	14.19	12.91	21.82	3.13	14.15	8.2	10.25	4.27	4.07
ENSG00000066654.11	14.4	11.84	11.05	31.26	17.15	14.02	10.95	15.99	10.44	11.29	68.87
ENSG00000066697.13	23.75	6.1	43.88	27.21	58.49	30.89	18.07	45.43	44.02	41.65	43.98
ENSG00000066735.13	0.12	0.03	0	0.6	0.82	0.03	0	0.05	0	0.21	2.55
ENSG00000066739.10	5.69	5.17	1.46	12.82	7.49	3.65	4.21	1.66	2.57	0.44	2.4
ENSG00000066777.7	13.2	16.13	7.15	11.36	21.62	15.16	13.81	14.24	5.83	20.16	11.25
ENSG00000066813.13	0.05	0.03	0	0.58	0.18	0	0.03	0	0.15	0	0
ENSG00000066827.14	2.55	2.66	3.65	5.54	1.3	4.71	5.77	4.53	2.89	4.14	6.6
ENSG00000066855.14	11.65	8.64	19.64	30.36	28.53	13.67	14.34	12.06	10.06	31.77	13.8
ENSG00000066923.16	1.89	4.67	0.99	16.41	1.35	2.57	2.47	2.11	1.38	1.33	3.49
ENSG00000066926.9	35.18	32.13	20.07	43.57	12.23	8.71	30.58	38.64	9.67	20.85	49.84
ENSG00000066933.14	2.93	2.49	3.42	8.55	3.87	6.46	2.18	3.15	2.64	2.4	5.98
ENSG00000067048.15	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067057.15	315.49	127.45	161.89	23.87	116.28	181.85	200.35	241.16	148.61	291.06	201.63
ENSG00000067064.9	44.48	24.5	19.25	22.33	47.14	13.48	26.6	11.82	13.44	16.07	3.83
ENSG00000067066.15	25.3	17.27	11.51	52.57	14.81	18.29	15.53	26.21	24.09	16.15	11.43
ENSG00000067082.13	45.45	60.73	49.92	24.28	39.07	59.32	58.95	139.65	49.57	94.98	139.86
ENSG00000067113.15	15.44	6.88	11.07	4.64	8.11	5.21	4.19	10.07	5.75	3.42	9.89
ENSG00000067141.15	10.09	20.5	0.51	20.07	2.42	3.64	7.6	1.68	10.42	1.75	35.26
ENSG00000067167.6	71.67	60.13	66.87	52.64	79.08	64.69	48.65	36.27	57.34	56.39	48.3
